freq	unwrap(phase(S(1,2))) - unwrap(phase(S(3,1))) 
2.14999999999999991E9	8.78939044561070304E1
2.16000000000000014E9	8.81080890049029364E1
2.16999999999999993E9	8.83068677461732321E1
2.18000000000000016E9	8.84907216457513357E1
2.18999999999999995E9	8.86601540097906593E1
2.20000000000000018E9	8.88156892554476407E1
2.20999999999999996E9	8.89578716574333406E1
2.21999999999999975E9	8.90872640678720984E1
2.22999999999999998E9	8.92044466073113540E1
2.23999999999999977E9	8.93100153252446560E1
2.25000000000000000E9	8.94045808291194888E1
2.26000000000000023E9	8.94887668815077042E1
2.27000000000000002E9	8.95632089658873198E1
2.28000000000000025E9	8.96285528222750294E1
2.29000000000000004E9	8.96854529547862001E1
2.29999999999999982E9	8.97345711140416924E1
2.31000000000000005E9	8.97765747581307494E1
2.31999999999999984E9	8.98121354966265883E1
2.33000000000000007E9	8.98419275228461700E1
2.33999999999999986E9	8.98666260402303507E1
2.35000000000000009E9	8.98869056892009155E1
2.36000000000000032E9	8.99034389813690993E1
2.37000000000000011E9	8.99168947482597147E1
2.37999999999999989E9	8.99279366119489865E1
2.38999999999999968E9	8.99372214851047680E1
2.39999999999999991E9	8.99453981078963594E1
2.41000000000000014E9	8.99531056290604702E1
2.41999999999999993E9	8.99609722381738131E1
2.43000000000000016E9	8.99696138557657754E1
2.43999999999999995E9	8.99796328874632323E1
2.45000000000000018E9	8.99916170477313848E1
2.45999999999999996E9	9.00061382582002878E1
2.46999999999999975E9	9.00237516247832481E1
2.47999999999999998E9	9.00449944971152760E1
2.48999999999999977E9	9.00703856129959135E1
2.50000000000000000E9	9.01004243297754748E1
2.51000000000000023E9	9.01355899437959351E1
2.52000000000000002E9	9.01763410982529123E1
2.53000000000000025E9	9.02231152790643876E1
2.54000000000000004E9	9.02763283976571529E1
2.54999999999999982E9	9.03363744589093720E1
2.56000000000000005E9	9.04036253118918331E1
2.56999999999999984E9	9.04784304805280826E1
2.58000000000000007E9	9.05611171619086086E1
2.58999999999999986E9	9.06519898420002690E1
2.60000000000000009E9	9.07513308910282390E1
2.61000000000000032E9	9.08594003124654037E1
2.62000000000000011E9	9.09764360075021195E1
2.62999999999999989E9	9.11026540038931998E1
2.63999999999999968E9	9.12382487356865113E1
2.64999999999999991E9	9.13833933692237643E1
2.66000000000000014E9	9.15382401709306848E1
2.66999999999999993E9	9.17029209124925515E1
2.68000000000000016E9	9.18775473091866601E1
2.68999999999999995E9	9.20622114873397912E1
2.70000000000000018E9	9.22569864770854409E1
2.70999999999999996E9	9.24619267268554346E1
2.71999999999999975E9	9.26770686362790386E1
2.72999999999999998E9	9.29024311044430462E1
2.73999999999999977E9	9.31380160907120569E1
2.75000000000000000E9	9.33838091856154939E1
2.76000000000000023E9	9.36397801895178894E1
2.77000000000000002E9	9.39058836971007338E1
2.78000000000000025E9	9.41820596858724990E1
2.79000000000000004E9	9.44682341071892573E1
2.79999999999999982E9	9.47643194784597220E1
2.81000000000000005E9	9.50702154754097606E1
2.81999999999999984E9	9.53858095234442338E1
2.83000000000000007E9	9.57109773873099456E1
2.83999999999999986E9	9.60455837583897321E1
2.85000000000000009E9	9.63894828390622571E1
2.86000000000000032E9	9.67425189236782401E1
2.87000000000000011E9	9.71045269757442142E1
2.87999999999999989E9	9.74753332009979978E1
2.88999999999999968E9	9.78547556160639331E1
2.89999999999999991E9	9.82426046124304619E1
2.91000000000000014E9	9.86386835154760888E1
2.91999999999999993E9	9.90427891382874748E1
2.93000000000000016E9	9.94547122844426568E1
2.93999999999999995E9	9.98742384727289334E1
2.95000000000000018E9	1.00301148200298362E2
2.95999999999999996E9	1.00735217654787279E2
2.96999999999999975E9	1.01176219191828154E2
2.97999999999999998E9	1.01623921850781729E2
2.98999999999999977E9	1.02078091862662435E2
3.00000000000000000E9	1.02538493149731891E2
3.01000000000000023E9	1.03004887816195456E2
3.02000000000000002E9	1.03477036629423358E2
3.03000000000000025E9	1.03954699491053759E2
3.04000000000000004E9	1.04437635897341186E2
3.04999999999999982E9	1.04925605433627278E2
3.06000000000000005E9	1.05418368028994003E2
3.06999999999999984E9	1.05915684653577769E2
3.08000000000000007E9	1.06417317546993928E2
3.08999999999999986E9	1.06923030660364882E2
3.10000000000000009E9	1.07432590038045395E2
3.11000000000000032E9	1.07945764183976189E2
3.12000000000000011E9	1.08462324412082189E2
3.12999999999999989E9	1.08982045180173048E2
3.13999999999999968E9	1.09504704406861664E2
3.14999999999999991E9	1.10030083771051013E2
3.16000000000000014E9	1.10557968993621603E2
3.16999999999999993E9	1.11088150100991734E2
3.18000000000000016E9	1.11620421670303172E2
3.18999999999999995E9	1.12154583056054546E2
3.20000000000000018E9	1.12690438598063403E2
3.20999999999999996E9	1.13227797810723985E2
3.22000000000000020E9	1.13766475553588009E2
3.22999999999999954E9	1.14306292183377600E2
3.23999999999999977E9	1.14847073687600787E2
3.25000000000000000E9	1.15388651800011188E2
3.26000000000000023E9	1.15930864098224040E2
3.27000000000000046E9	1.16473554083851916E2
3.27999999999999980E9	1.17016571245592038E2
3.29000000000000004E9	1.17559771105747712E2
3.29999999999999982E9	1.18103015250710253E2
3.31000000000000005E9	1.18646171345983586E2
3.32000000000000028E9	1.19189113136365710E2
3.32999999999999963E9	1.19731720431933342E2
3.33999999999999986E9	1.20273879080513924E2
3.35000000000000009E9	1.20815480927346686E2
3.36000000000000032E9	1.21356423762652410E2
3.37000000000000011E9	1.21896611257850451E2
3.37999999999999989E9	1.22435952891164623E2
3.38999999999999968E9	1.22974363863365665E2
3.39999999999999991E9	1.23511765004397800E2
3.41000000000000014E9	1.24048082671630167E2
3.42000000000000037E9	1.24583248640468125E2
3.42999999999999972E9	1.25117199988040673E2
3.43999999999999995E9	1.25649878970674012E2
3.45000000000000018E9	1.26181232895830209E2


